2.0,103737.0,69.168,117.0,117.0,44.1075,44413.5,29.614,51.0,51.0,19.0407,130590.5,87.0713,146.0,146.0,55.8457,65783.0,43.8653,72.0,72.0,25.9085,344712.5,229.852,367.0,367.0,146.0677,416260.0,277.5647,442.0,442.0,177.8444,390048.0,260.0667,422.0,422.0,165.4351,401962.5,268.0133,442.0,442.0,171.4622
3.0,118737.5,79.1833,135.0,135.0,52.6509,95581.0,63.746,114.0,114.0,45.2102,174089.0,116.096,196.0,196.0,78.326,44168.5,29.4627,47.0,47.0,10.6189,109569.0,73.07,131.0,131.0,49.7636,127133.5,84.7853,152.0,152.0,57.9783,109003.0,72.6873,128.0,128.0,47.6645,110925.0,73.9713,131.0,131.0,48.1101
4.0,135676.5,90.4747,152.0,152.0,62.274,81332.5,54.236,96.0,96.0,37.7351,240548.0,160.412,258.0,258.0,109.4964,315919.5,210.708,364.0,364.0,150.13,301528.5,201.094,348.0,348.0,144.7918,367478.0,245.0833,426.0,426.0,179.4994,352882.5,235.3233,409.0,409.0,167.9386,325378.5,216.988,382.0,382.0,156.2584
2.0,108621.0,72.4227,129.0,129.0,50.8566,46954.0,31.3067,57.0,57.0,21.4948,173194.0,115.474,198.0,198.0,82.0055,168103.5,112.1013,172.0,172.0,59.1119,230864.5,153.932,273.0,273.0,109.0779,282583.0,188.4207,337.0,337.0,134.2712,254802.5,169.886,319.0,319.0,122.1149,247718.0,165.1653,305.0,305.0,118.0419
4.0,92961.5,61.984,102.0,102.0,39.4682,59741.0,39.832,71.0,71.0,25.9941,195484.0,130.3387,206.0,206.0,82.4234,290089.0,193.45,321.0,321.0,124.6153,179572.0,119.738,208.0,208.0,78.8268,238474.5,159.0187,277.0,277.0,104.7375,212067.5,141.4013,257.0,257.0,93.1753,187937.0,125.3133,233.0,233.0,83.1727
3.0,104859.5,69.92,127.0,127.0,50.9251,90313.0,60.2247,111.0,111.0,44.9765,152591.0,101.7487,188.0,188.0,74.3284,58864.0,39.2567,54.0,54.0,14.5618,93042.5,62.0393,122.0,122.0,45.5591,109636.0,73.106,147.0,147.0,55.4695,101804.0,67.8773,139.0,139.0,50.679,97793.5,65.2047,134.0,134.0,48.0906
4.0,87067.0,58.0507,102.0,102.0,39.1319,50060.0,33.3767,68.0,68.0,24.2504,165932.0,110.6313,186.0,186.0,77.108,198638.0,132.4533,231.0,231.0,84.9774,220748.0,147.1887,280.0,280.0,103.9852,275508.5,183.706,347.0,347.0,131.3645,247298.5,164.884,315.0,315.0,116.9197,237256.0,158.19,315.0,315.0,112.4854
3.0,90649.0,60.4427,101.0,101.0,37.638,62116.5,41.4227,71.0,71.0,26.2259,123783.5,82.5373,139.0,139.0,52.623,80647.5,53.7867,78.0,78.0,22.5338,128957.5,85.9867,141.0,141.0,52.8352,153735.0,102.5107,170.0,170.0,63.9328,133358.0,88.9173,148.0,148.0,55.0639,135134.5,90.1033,147.0,147.0,54.8433
4.0,107417.5,71.6213,118.0,118.0,44.2943,58475.0,38.99,63.0,63.0,23.8124,183646.0,122.4467,197.0,197.0,76.9833,162774.0,108.5433,175.0,175.0,69.5742,326315.5,217.5867,345.0,345.0,136.6415,401640.0,267.8187,426.0,426.0,170.3881,366455.0,244.3387,399.0,399.0,154.3562,366902.0,244.6393,405.0,405.0,154.7222
3.0,100964.0,67.3187,127.0,127.0,50.3312,61531.0,41.0293,78.0,78.0,31.0344,129957.0,86.6513,163.0,163.0,65.3035,89222.5,59.5013,96.0,96.0,31.1445,143782.5,95.868,179.0,179.0,71.9649,167982.0,112.0067,211.0,211.0,84.7686,151884.5,101.2673,195.0,195.0,74.645,146177.5,97.4633,189.0,189.0,71.9011
